instructor_id,dept_id,first_name,last_name,salary
1000,21,Pamella,Zachary,62773.83
1001,58,Sherrie,Evangelia,24026.22
1002,50,Tami,Simmonds,97749.39
1003,22,Fanny,Herrera,120594.13
1004,12,Ketti,Pip,159698.31
1005,61,Darlleen,Harday,123867.02
1006,68,Michaelina,Earlie,204544.38
1007,72,Starla,Alabaster,160797.75
1008,13,Madalyn,Constancy,231609.46
1009,1,Helsa,Mozelle,153577.8
1010,6,Wanda,Oriana,177353.57
1011,33,Coral,Curren,50525.67
1012,49,Merci,Callista,239075.89
1013,45,Darlleen,Atonsah,101349.52
1014,75,Julieta,Camden,173327.09
1015,14,Josephine,Muriel,221846.93
1016,70,Sara-Ann,Nester,246497.51
1017,46,Dede,Sherfield,164038.84
1018,15,Molli,Delacourt,69224.42
1019,70,Sean,Korey,198006.67
1020,51,Chandra,Fillbert,110035.28
1021,26,Christian,Gusella,236651.73
1022,21,Myrtice,Kellby,184872.97
1023,4,Justinn,Skurnik,66581.16
1024,37,Kirbee,Phi,146348.58
1025,69,Chandra,Poppy,64672.57
1026,26,Loree,Fancie,69215.27
1027,56,Barbi,Monk,120961.97
1028,61,Albertina,Odell,227541.3
1029,37,Atlanta,Marsden,133801.19
1030,35,Jobi,Heisel,140206.58
1031,45,Konstance,Goerke,193691.7
1032,67,Alyssa,Garek,41343.75
1033,41,Sarette,Clywd,69334.48
1034,75,Inga,Hylan,244610.61
1035,8,Carol-Jean,Aurelio,59905.92
1036,75,Sarette,Roche,183728.16
1037,73,Joeann,Yorick,174487.82
1038,71,Dennie,Meli,67799.41
1039,17,Emylee,Bury,125727.98
1040,32,Addia,Cullin,56947.41
1041,67,Odessa,Zaslow,49102.68
1042,3,Janis,Travax,38343.11
1043,5,Alex,Winnick,176543.26
1044,74,Lorenza,Trey,34973.26
1045,48,Fawne,Socha,89737.62
1046,32,Shirlee,Shields,25038.44
1047,13,Molli,Zamora,50119.96
1048,68,Brandise,Fiann,130427.77
1049,74,Elka,Chick,55583.97
1050,14,Teriann,Rudolph,46839.25
1051,37,Johna,Latini,202490.83
1052,52,Modestia,Anyah,133864.27
1053,31,Chandra,Firmin,23778.26
1054,35,Darlleen,Ietta,212202.71
1055,66,Kayla,Swigart,189126.37
1056,42,Hallie,Anastatius,106185.22
1057,21,Vonny,Emmy,100857.78
1058,65,Ketti,Ephrem,104672.45
1059,66,Emilia,Teddman,22344.68
1060,33,Mariann,Roscoe,75007.12
1061,29,Alleen,Vins,46697.24
1062,46,Shandie,Arvo,229394.94
1063,14,Bibby,Diann,167966.14
1064,20,Micheline,Armanda,207877.76
1065,16,Caryl,Orelee,119622.95
1066,30,Babita,Karna,114582.15
1067,73,Ardeen,Burch,243277.26
1068,25,Misha,Albertine,199274.38
1069,52,Mary,Jefferey,78508.15
1070,42,Dulcinea,Annice,93533.86
1071,32,Lorne,Smitt,49937.45
1072,42,Carlie,Gwenore,205940.8
1073,25,Violet,Mandler,98705.47
1074,19,Katleen,Wenda,45017.19
1075,17,Queenie,Laverne,18982.23
1076,8,Vivia,Kenwood,141458.45
1077,72,Sherrie,Argus,178469.58
1078,51,Anestassia,Fax,183633.1
1079,6,Cordi,Atonsah,200692.96
1080,24,Concettina,Delila,216688.54
1081,26,Christal,Montgomery,128242.21
1082,73,Oona,Wittie,85183.19
1083,18,Rozele,Fontana,112273.44
1084,14,Lexine,Letsou,42482.67
1085,35,Beverley,Lowry,162175.77
1086,42,Willetta,Ehrman,22844.13
1087,41,Joeann,Hillel,80042.9
1088,64,Rosaline,Fax,132906.74
1089,36,Janis,Odell,46240.29
1090,62,Raf,Franza,50036.41
1091,27,Malina,Sheng,203896.23
1092,67,Gisela,Vins,214314.32
1093,15,Phedra,Fry,98963.05
1094,59,Belva,Jammal,181081.52
1095,21,Oralee,Madox,239786.21
1096,14,Vivia,Harriman,17941.46
1097,58,Mallory,Helfand,15084.09
1098,25,Ariela,Calhoun,186796.92
1099,63,Nicoli,Loring,184202.56
1100,67,Aili,Grobe,65655.26
1101,40,Margette,Olympium,158863.31
1102,59,Alejandra,Edmund,124076.92
1103,45,Melisent,Cavan,36762.18
1104,45,Kristina,Stephie,54233.71
1105,12,Gusella,Mendez,29959.66
